"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 02, 2017","12,902.65","12,866.27","12,902.65","12,849.59","74.92M","0.58%"
"Sep 29, 2017","12,828.86","12,725.87","12,828.86","12,722.38","108.15M","0.98%"
"Sep 28, 2017","12,704.65","12,682.37","12,708.70","12,666.03","87.58M","0.37%"
"Sep 27, 2017","12,657.41","12,630.40","12,685.19","12,625.55","82.22M","0.41%"
"Sep 26, 2017","12,605.20","12,557.44","12,629.93","12,551.87","75.45M","0.08%"
"Sep 25, 2017","12,594.81","12,573.35","12,633.06","12,564.84","81.07M","0.02%"
"Sep 22, 2017","12,592.35","12,569.66","12,646.56","12,568.80","78.84M","-0.06%"
"Sep 21, 2017","12,600.03","12,601.95","12,621.28","12,582.04","103.93M","0.25%"
"Sep 20, 2017","12,569.17","12,550.92","12,593.25","12,518.22","104.83M","0.06%"
"Sep 19, 2017","12,561.79","12,556.46","12,566.20","12,527.90","76.52M","0.02%"
"Sep 18, 2017","12,559.39","12,593.55","12,613.56","12,537.07","60.15M","0.32%"
"Sep 15, 2017","12,518.81","12,525.36","12,561.35","12,506.94","197.94M","-0.17%"
"Sep 14, 2017","12,540.45","12,524.12","12,552.16","12,499.55","85.61M","-0.10%"
"Sep 13, 2017","12,553.57","12,489.25","12,565.85","12,489.25","82.36M","0.23%"
"Sep 12, 2017","12,524.77","12,527.44","12,558.03","12,512.59","87.72M","0.40%"
"Sep 11, 2017","12,475.24","12,381.52","12,481.77","12,381.33","79.20M","1.39%"
"Sep 08, 2017","12,303.98","12,261.81","12,321.61","12,245.33","63.29M","0.06%"
"Sep 07, 2017","12,296.63","12,284.14","12,363.60","12,265.51","96.60M","0.67%"
"Sep 06, 2017","12,214.54","12,071.90","12,260.76","12,066.84","85.60M","0.75%"
"Sep 05, 2017","12,123.71","12,125.42","12,210.25","12,100.26","67.68M","0.18%"
"Sep 04, 2017","12,102.21","12,051.80","12,138.41","12,050.53","45.05M","-0.33%"
"Sep 01, 2017","12,142.64","12,101.15","12,191.23","12,085.31","75.81M","0.72%"
"Aug 31, 2017","12,055.84","12,098.57","12,115.55","12,034.18","80.72M","0.44%"
"Aug 30, 2017","12,002.47","12,026.45","12,040.82","11,989.61","59.03M","0.47%"
"Aug 29, 2017","11,945.88","12,031.12","12,032.32","11,868.84","100.90M","-1.46%"
"Aug 28, 2017","12,123.47","12,105.49","12,173.53","12,064.36","35.88M","-0.37%"
"Aug 25, 2017","12,167.94","12,194.73","12,249.44","12,132.50","59.30M","-0.11%"
"Aug 24, 2017","12,180.83","12,196.18","12,254.75","12,169.54","64.80M","0.05%"
"Aug 23, 2017","12,174.30","12,227.23","12,269.92","12,155.74","65.94M","-0.45%"
"Aug 22, 2017","12,229.34","12,151.76","12,234.79","12,124.15","68.61M","1.35%"
"Aug 21, 2017","12,065.99","12,105.72","12,149.58","12,021.70","72.15M","-0.82%"
"Aug 18, 2017","12,165.19","12,103.51","12,178.09","12,080.74","90.54M","-0.31%"
"Aug 17, 2017","12,203.46","12,236.60","12,290.05","12,184.27","76.45M","-0.49%"
"Aug 16, 2017","12,263.86","12,250.02","12,301.40","12,240.83","66.67M","0.71%"
"Aug 15, 2017","12,177.04","12,208.30","12,234.64","12,156.87","62.18M","0.10%"
"Aug 14, 2017","12,165.12","12,100.17","12,195.43","12,097.00","80.12M","1.26%"
"Aug 11, 2017","12,014.06","11,961.60","12,046.89","11,934.92","93.89M","-0.00%"
"Aug 10, 2017","12,014.30","12,158.69","12,158.92","11,993.73","97.86M","-1.15%"
"Aug 09, 2017","12,154.00","12,191.37","12,227.52","12,100.12","118.23M","-1.12%"
"Aug 08, 2017","12,292.05","12,239.78","12,329.97","12,184.59","71.15M","0.28%"
"Aug 07, 2017","12,257.17","12,305.74","12,336.00","12,225.77","68.06M","-0.33%"
"Aug 04, 2017","12,297.72","12,138.09","12,321.98","12,123.66","98.57M","1.18%"
"Aug 03, 2017","12,154.72","12,130.76","12,184.60","12,099.13","81.42M","-0.22%"
"Aug 02, 2017","12,181.48","12,269.90","12,275.00","12,153.54","88.39M","-0.57%"
"Aug 01, 2017","12,251.29","12,147.89","12,302.38","12,092.06","89.61M","1.10%"
"Jul 31, 2017","12,118.25","12,141.53","12,210.30","12,097.36","89.28M","-0.37%"
"Jul 28, 2017","12,162.70","12,151.38","12,183.77","12,098.57","93.13M","-0.40%"
"Jul 27, 2017","12,212.04","12,230.09","12,293.90","12,176.02","102.84M","-0.76%"
"Jul 26, 2017","12,305.11","12,260.30","12,341.03","12,255.74","81.67M","0.33%"
"Jul 25, 2017","12,264.31","12,228.32","12,301.67","12,211.14","80.62M","0.45%"
