"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 01, 2018","2,302.57","2,292.22","2,313.21","2,288.31","-","0.55%"
"Jan 31, 2018","2,289.99","2,278.83","2,295.88","2,266.95","-","0.42%"
"Jan 30, 2018","2,280.36","2,276.37","2,301.98","2,264.16","-","-0.17%"
"Jan 29, 2018","2,284.27","2,295.34","2,303.49","2,280.92","-","-0.48%"
"Jan 26, 2018","2,295.26","2,317.15","2,317.15","2,281.71","-","-1.07%"
"Jan 25, 2018","2,320.03","2,311.56","2,328.48","2,307.62","-","0.57%"
"Jan 24, 2018","2,306.99","2,297.69","2,306.99","2,283.20","-","0.35%"
"Jan 23, 2018","2,298.95","2,311.99","2,315.77","2,281.52","-","-0.42%"
"Jan 22, 2018","2,308.61","2,286.04","2,308.61","2,285.32","-","0.97%"
"Jan 19, 2018","2,286.33","2,298.07","2,306.79","2,273.24","-","-0.48%"
"Jan 18, 2018","2,297.47","2,279.34","2,299.64","2,279.34","-","0.86%"
"Jan 17, 2018","2,277.89","2,250.71","2,277.89","2,231.70","-","0.89%"
"Jan 16, 2018","2,257.89","2,262.09","2,265.64","2,232.92","-","-0.16%"
"Jan 15, 2018","2,261.53","2,268.01","2,280.17","2,259.66","-","-0.04%"
"Jan 12, 2018","2,262.38","2,245.70","2,262.38","2,234.42","-","0.71%"
"Jan 11, 2018","2,246.45","2,232.19","2,246.82","2,221.61","-","0.64%"
"Jan 10, 2018","2,232.27","2,227.33","2,233.63","2,213.77","-","0.31%"
"Jan 09, 2018","2,225.39","2,211.40","2,242.87","2,211.40","-","0.81%"
"Jan 05, 2018","2,207.41","2,196.69","2,207.41","2,188.35","-","0.45%"
"Jan 04, 2018","2,197.60","2,153.87","2,197.60","2,153.87","-","2.07%"
"Jan 03, 2018","2,152.97","2,111.24","2,152.97","2,111.24","-","2.05%"
"Dec 29, 2017","2,109.74","2,102.81","2,110.90","2,091.93","-","0.33%"
"Dec 28, 2017","2,102.89","2,105.98","2,106.25","2,088.67","-","-0.16%"
"Dec 27, 2017","2,106.17","2,099.09","2,108.74","2,091.94","-","0.44%"
"Dec 26, 2017","2,097.03","2,105.51","2,107.48","2,086.61","-","-0.38%"
"Dec 25, 2017","2,105.06","2,109.38","2,115.68","2,100.76","-","0.10%"
"Dec 22, 2017","2,102.94","2,095.56","2,109.44","2,089.60","-","0.46%"
"Dec 21, 2017","2,093.38","2,101.23","2,103.62","2,082.29","-","-0.46%"
"Dec 20, 2017","2,102.97","2,116.97","2,120.57","2,101.93","-","-0.72%"
"Dec 19, 2017","2,118.16","2,133.93","2,139.27","2,112.99","-","-0.77%"
"Dec 18, 2017","2,134.58","2,144.92","2,155.92","2,122.05","-","-0.44%"
"Dec 15, 2017","2,143.99","2,151.23","2,151.23","2,135.85","-","-0.39%"
"Dec 14, 2017","2,152.41","2,132.54","2,152.41","2,127.74","-","0.96%"
"Dec 13, 2017","2,131.94","2,152.39","2,158.25","2,127.10","-","-1.33%"
"Dec 12, 2017","2,160.75","2,151.96","2,160.75","2,142.06","-","0.57%"
"Dec 11, 2017","2,148.60","2,104.62","2,148.60","2,104.62","-","2.07%"
"Dec 08, 2017","2,104.99","2,106.38","2,118.71","2,097.29","-","0.09%"
"Dec 07, 2017","2,103.15","2,120.80","2,120.83","2,100.87","-","-0.99%"
"Dec 06, 2017","2,124.12","2,110.80","2,126.16","2,102.90","-","0.49%"
"Dec 05, 2017","2,113.69","2,117.70","2,117.70","2,099.77","-","-0.27%"
"Dec 04, 2017","2,119.42","2,104.90","2,123.08","2,087.37","-","0.64%"
"Dec 01, 2017","2,105.99","2,102.54","2,109.33","2,091.89","-","0.26%"
"Nov 30, 2017","2,100.62","2,121.93","2,123.18","2,092.20","-","-1.10%"
"Nov 29, 2017","2,124.08","2,148.95","2,150.88","2,120.24","-","-1.18%"
"Nov 28, 2017","2,149.45","2,144.53","2,149.45","2,126.06","-","0.17%"
"Nov 27, 2017","2,145.87","2,159.02","2,164.32","2,139.12","-","-0.71%"
"Nov 24, 2017","2,161.17","2,148.59","2,163.61","2,144.62","-","0.59%"
"Nov 23, 2017","2,148.56","2,159.88","2,160.64","2,143.06","-","-0.54%"
"Nov 22, 2017","2,160.16","2,158.33","2,168.01","2,151.30","-","0.20%"
"Nov 21, 2017","2,155.82","2,132.50","2,155.82","2,132.50","-","1.19%"
"Nov 20, 2017","2,130.39","2,132.40","2,139.91","2,123.76","-","-0.07%"
"Nov 17, 2017","2,131.91","2,135.58","2,139.43","2,127.95","-","-0.03%"
"Nov 16, 2017","2,132.65","2,135.18","2,147.83","2,112.20","-","0.04%"
